id,lipidosis,grade,other.liver.disease,weight,age,HU,fat.perc,fibrosis.perc,insulin,trig,na,k,cl,ca,gldh,bile.acid,ldh,uric.acid,chol,VLDL.perc,LDL.perc,HDL.perc,VLDL,LDL,HDL,non-HDL,hdl.by.chol,ast,alt,alp,ck,xylose,xylitol,valine,uric acid,urea,UDP-glucuronic acid,tyrosine,tryptophan ,trehalose,trans-4-hydroxyproline ,tocopherol alpha-,threonine,threonic acid,threitol,succinic acid,sophorose,shikimic acid,serotonin,serine,salicylic acid,ribose,ribonic acid ,ribitol,putrescine,pseudo uridine,propyleneglycol,proline,pipecolinic acid,phosphoethanolamine,phosphate,phenylethylamine,phenylalanine ,phenylacetic acid,pelargonic acid,pantothenic acid,palmitoleic acid,oxoproline,ornithine ,oleic acid,nicotinamide,N-acetylneuraminic acid,myo-inositol,methylmalonic acid,methionine sulfoxide ,methionine,methanolphosphate,mannose,maltotriose,maltose ,malic acid,lysine,linoleic acid,leucine,lauric acid,lactic acid ,isothreonic acid ,isoribose,isomaltose,isoleucine ,inositol-4-monophosphate,inosine,indole-3-acetate,hypoxanthine,hypotaurine,hydroxylamine,hydroquinone,homocystine ,guanosine,glycine,glycerol-alpha-phosphate,glyceric acid,glutamine ,glutamic acid,glucuronic acid,glucose-1-phosphate,glucose ,gluconic acid,galactonic acid,fumaric acid,fucose ,fructose ,ethanolamine,erythritol,Dopamine ,dihydrocholesterol,dihydro-3-coumaric acid,deoxypentitol,deoxycholic acid,cystine,creatinine,conduritol-beta-epoxide ,citrulline,citric acid,cholesterol,catechol,campesterol ,cadaverine,biuret,beta-sitosterol,beta-glycerolphosphate,beta-alanine,benzoic acid,aspartic acid,asparagine ,arachidonic acid,arabitol,aminomalonic acid,alanine,aconitic acid,5-methoxytryptamine,5-hydroxynorvaline ,5-aminovaleric acid,4-hydroxyphenylacetic acid,4-hydroxybenzoate,4-aminobutyric acid ,3-hydroxybutyric acid,3-hydroxybenzoic acid,"3-Aminopiperidine-2,6-dione ",3-aminoisobutyric acid,"3,4-dihydroxycinnamic acid",2-hydroxyvaleric acid,2-hydroxyglutaric acid,2-hydroxybutanoic acid,2-deoxytetronic acid,2-aminobutyric acid,"2,3-dihydroxybutanoic acid ",1-methylhydantoin,"1,5-anhydroglucitol"
39,moderate-to-severe,6,N,263,1.5-3,-41.5,49.9,1.91,2.6,167,151,4.1,124,17.5,0.86,3.5,810,1.4,208,15,21,64,31.2,43.68,133.12,74.88,0.64,28,14,734,544,14380,26459,410414,8470,40605,462,626458,60337,7682,22925,11236,51059,20500,13950,3098,195,2378,332,225626,1562,9189,1105,1624,1188,453,3716,62101,820,2787,94961,963,90800,6538,7114,2939,2374,515303,88217,13278,843,932,469364,86869,21072,27410,9043,206867,2050,28747,3300,211776,9600,424936,1794,45582,4397,2001,698,214609,172,9955,1225,397,2107,9558,4184,909,665,76545,2966,3268,331841,42135,3910,5647,3391448,1310,1223,2951,8666,4538,23824,28000,2272,2002,1732,1690,51312,16235,104373,8392,19269,41770,523502,979,16554,1513,813,17788,743,13390,35798,10329,6796,2794,8127,2810,549314,364,5253,2023,1092,336,1421,205,1058188,41161,9690,537,1192,8539,499,58688,298,64049,2647,13324,3558
40,no-to-mild,3,N,276,1.5-3,-27,32.4,1.88,3.1,106,163,3.9,144,15.8,0.1,3.3,405,1.6,308,27,15,58,83.16,46.2,178.64,129.36,0.58,14,11,693,126,12451,29906,342182,4765,114789,699,913891,49281,3798,18708,15825,36396,19837,18834,3523,515,5012,2441,206180,870,7021,1496,1147,1232,522,18950,27894,420,2954,53515,265,88519,279,9377,3524,2957,285960,225678,16792,1219,954,324088,30916,9164,2048,6874,281240,506,13160,3595,346739,9714,695770,3196,21832,1000,3184,1776,342886,710,10284,1734,6983,626,7622,1794,1151,575,27467,2526,983,95680,13254,5313,3497,2294581,1602,1382,3668,9250,3070,20264,43377,2354,562,25958,1169,53895,5798,356626,11047,27561,40023,445393,766,10332,1248,534,19863,803,26881,20340,6984,4294,1230,13041,2561,272224,501,6274,1632,1543,510,787,206,2149822,7179,9949,601,763,16945,547,108176,592,90926,7804,3688,4889
41,no-to-mild,2,N,179,1.5-3,-18.5,24,1.13,3.5,61,151,2.8,121,11.4,0.26,0.9,831,1,192,11,44,46,21.12,84.48,88.32,103.68,0.46,25,10,143,746,9154,23322,276124,5252,54043,938,1083027,77765,2959,20614,7071,35435,17467,7317,2801,228,2233,499,501533,492,9182,1496,1889,3051,458,13745,31636,5845,1587,71803,291,110722,438,6045,3085,3707,205050,100510,20351,2086,1409,330051,25704,25156,3205,5007,225554,1028,7643,1210,96487,12476,392271,2617,9660,1553,1337,722,227525,440,19788,716,12183,549,8316,1689,1095,182,84199,2347,2078,94633,20687,4822,6943,3215628,1351,1331,1655,19878,5096,21663,21592,2795,3651,7560,1171,36157,7149,128786,9234,12731,47564,386112,304,13380,1377,819,21863,529,49624,12959,34156,934,3008,5723,1024,245680,505,4503,1554,2176,302,632,269,2081957,1618,12171,237,343,9562,550,49131,1589,36824,2654,26822,1318
42,moderate-to-severe,9,N,230,1.5-3,-45,53.3,2.5,2.5,97,192,3.8,172,11.6,0.1,6.9,481,1.5,311,20,32,48,62.2,99.52,149.28,161.72,0.48,13,17,360,710,7542,36321,301118,10157,190565,506,971995,75844,13021,16542,18276,75580,10374,8145,2272,637,1575,551,538928,841,41199,1266,2556,1606,1653,23309,19011,677,3329,178420,411,127207,654,10471,2684,5747,325173,71390,18940,2480,1007,365585,64909,15440,24882,8286,230558,3012,47365,915,129428,9661,431955,4354,34759,2682,2412,1572,235805,548,28434,371,26820,3799,9543,1379,1117,2032,38360,8105,2101,117208,58643,4412,5081,4067545,1296,2129,3768,14052,5077,5353,24842,2052,3515,5218,2235,80956,33618,100099,9218,13639,41415,500747,1063,28591,1843,414,19654,930,48405,7638,11110,5730,2607,12164,3357,384882,930,3043,2012,6199,220,615,338,434196,5798,10638,248,687,7535,347,38078,1568,35751,1477,5608,4299
43,no-to-mild,4,N,281,1.5-3,-22.5,21.4,2.73,1.4,135,167,3.5,144,11.3,0.1,6.3,408,1,229,13,49,39,29.77,112.21,89.31,139.69,0.39,13,10,137,274,6630,26963,163267,1440,78267,326,1149424,54491,1149,34037,14282,79093,10847,4138,1893,95,2628,171,36564,878,3014,4023,580,1042,330,2604,29434,1670,2472,120847,633,71350,5034,9188,2965,4929,862747,112042,28327,2623,238,108083,35920,20555,1105,4920,198244,247,2559,653,113564,15897,257859,4662,7390,2765,1658,272,133673,608,15503,438,5873,349,8507,5574,1418,437,167268,1876,1438,508142,29652,4274,5124,2277518,3459,3388,1718,3690,1752,17484,11369,1295,4052,274,1466,33181,3910,186699,6932,30412,20075,396641,861,24669,806,1225,19462,491,15558,8506,8833,6810,947,8388,1665,48336,299,1227,1982,1327,1316,2126,131,3049522,13575,14489,363,228,5576,292,44069,1322,34654,5413,3736,1259
44,moderate-to-severe,5,N,149,1.5-3,21,27.9,2.19,0.5,84,152,4.1,132,11.3,0.1,5.7,380,0.6,193,12,40,37,23.16,77.2,71.41,121.59,0.37,11,5,84,361,16555,66876,246282,692,29903,2329,636825,39501,2132,39538,9440,59704,32167,14392,3406,221,2339,168,267900,1679,4684,4522,3158,2596,770,6636,25656,3850,2322,132990,55754,93192,4697,11535,2166,2059,533542,35969,9322,1678,468,503958,58668,11351,1917,6220,178174,453,4159,1309,170316,6633,277636,4357,14095,3145,2213,955,135667,591,21491,2599,5744,1372,6351,3022,387,473,95074,2255,2196,117552,114186,9984,4215,4182277,10210,473,3300,9485,3721,11441,37184,2215,3310,19446,909,44326,1209,14541,42483,7792,98366,535487,442,18180,1509,792,17931,873,31549,28133,8567,3313,3894,18331,1113,240096,696,1671,1020,12034,506,1770,1041,1159158,8524,8791,1574,643,14386,672,47966,2424,31168,2488,4560,3266
45,moderate-to-severe,8,N,308,1.5-3,-38,51.8,1.85,2.3,125,157,3.3,131,16.7,0.1,3,589,2.1,271,NA,NA,NA,NA,NA,NA,NA,NA,18,13,318,327,7885,42870,241863,18336,118484,279,1334326,67157,13411,18974,15811,30708,14512,12745,2820,360,3532,501,633057,3395,15739,1361,1747,1392,623,5485,17538,427,1406,62304,272,142884,905,8608,1891,5115,280486,179338,27406,857,1458,721423,51647,23605,6894,5885,208612,3126,49924,2968,193357,16469,356676,3478,11203,3147,2231,2296,206056,908,13551,392,11194,1469,8821,1884,1228,716,49677,4478,1460,96495,23384,6386,5988,3504773,1421,694,3620,11050,9021,18599,27902,4400,2337,13716,1126,52662,31967,99227,25685,21139,63695,508516,412,31272,1574,405,28174,910,16864,17958,3482,3949,4692,12015,2342,329519,840,2006,1411,857,439,915,182,555402,8895,15596,296,1632,10395,1232,51031,1100,23302,2228,4104,1902
46,moderate-to-severe,10,N,384,1.5-3,-65,54.4,9.18,1.4,44,163,2.2,130,11.5,1.13,8.8,809,0.9,160,8,34,57,12.8,54.4,91.2,68.8,0.57,20,8,161,873,6988,25289,313409,3564,33325,297,766941,72821,2768,12798,8426,69800,3159,3648,2111,195,5587,338,543981,803,6303,481,1935,2781,430,32631,77615,705,1287,79411,196,100106,1059,5545,2543,5426,288503,143899,23288,1634,1067,141792,64555,45251,5804,4062,319039,570,8873,790,87608,15519,489194,5279,17721,397,1532,604,259886,389,7055,802,12602,542,20654,1786,385,375,52296,2697,456,132129,23830,2357,7498,3406857,2627,2616,2202,4774,3529,16420,9483,1617,1662,322,1277,29471,11328,197062,2635,15899,23143,363025,400,28510,1252,479,29743,597,15712,16421,11224,4858,3182,9121,762,682920,386,1846,1705,1801,425,915,211,1431365,2128,8619,262,373,15833,494,51756,1129,74195,2013,4199,814
47,no-to-mild,3,N,191,1.5-3,3.5,22.9,3.97,0.7,114,168,4.7,136,12.7,0.1,0.7,423,1,276,4,27,69,11.04,74.52,190.44,85.56,0.69,10,6,249,308,22639,39443,200142,4938,38592,1712,347524,48040,3207,18979,15496,19355,33401,18999,3734,243,1329,212,138710,1056,4772,1355,2917,1762,633,77205,14610,906,1597,101750,17311,68547,1006,11696,1759,4222,222100,84133,19015,1546,616,510500,34526,22660,850,8357,318459,419,6813,1815,88996,11651,345625,3114,91400,5161,786,1253,195564,519,17593,1032,7400,457,11093,2025,415,824,71455,2962,2044,78542,56147,8146,12808,4481419,7529,6429,2919,11957,6453,23745,34064,4663,2241,728,323,75520,3637,37357,40881,11132,85243,577657,324,19595,1506,1024,18529,859,59073,34296,4741,3677,2423,16077,1910,427768,721,1824,1045,2681,249,1253,427,1239856,7835,9662,474,806,10821,757,48532,5678,19466,1626,12239,4012
48,no-to-mild,4,N,407,1.5-3,21.5,8.4,4.6,2,39,151,3,130,11.7,4.78,1,1347,1.2,160,10,43,46,16,68.8,73.6,86.4,0.46,30,17,137,1179,2722,31909,325315,3775,109404,238,762589,51618,3693,15535,12591,67744,28249,10983,5951,134,1976,2912,537524,834,6203,1314,2072,2210,10498,31557,41198,1898,2824,113283,615,143274,915,8863,1634,341,289621,139643,13505,1172,1301,719717,70746,28321,3346,6632,177242,391,9604,6479,177100,9877,565884,726,38250,2555,3902,751,293867,647,11944,546,6787,689,12101,2085,419,749,71007,4743,2005,40232,8343,4828,3483,3620094,3413,2828,6175,7562,8466,15690,19287,4851,1973,378,1135,27359,4807,338357,27283,12855,63916,415679,245,34467,1385,1282,25887,714,13377,21313,3171,5938,2548,11171,2881,418876,915,2719,1040,1041,346,1052,186,604972,3490,8060,196,339,9445,912,72613,1492,42462,1133,5029,6657
