id,lipidosis,grade,other.liver.disease,weight,age,HU,fat.perc,fibrosis.perc,insulin,trig,na,k,cl,ca,gldh,bile.acid,ldh,uric.acid,chol,VLDL.perc,LDL.perc,HDL.perc,VLDL,LDL,HDL,non-HDL,hdl.by.chol,ast,alt,alp,ck,xylose,xylitol,valine,uric acid,urea,UDP-glucuronic acid,tyrosine,tryptophan ,trehalose,trans-4-hydroxyproline ,tocopherol alpha-,threonine,threonic acid,threitol,succinic acid,sophorose,shikimic acid,serotonin,serine,salicylic acid,ribose,ribonic acid ,ribitol,putrescine,pseudo uridine,propyleneglycol,proline,pipecolinic acid,phosphoethanolamine,phosphate,phenylethylamine,phenylalanine ,phenylacetic acid,pelargonic acid,pantothenic acid,palmitoleic acid,oxoproline,ornithine ,oleic acid,nicotinamide,N-acetylneuraminic acid,myo-inositol,methylmalonic acid,methionine sulfoxide ,methionine,methanolphosphate,mannose,maltotriose,maltose ,malic acid,lysine,linoleic acid,leucine,lauric acid,lactic acid ,isothreonic acid ,isoribose,isomaltose,isoleucine ,inositol-4-monophosphate,inosine,indole-3-acetate,hypoxanthine,hypotaurine,hydroxylamine,hydroquinone,homocystine ,guanosine,glycine,glycerol-alpha-phosphate,glyceric acid,glutamine ,glutamic acid,glucuronic acid,glucose-1-phosphate,glucose ,gluconic acid,galactonic acid,fumaric acid,fucose ,fructose ,ethanolamine,erythritol,Dopamine ,dihydrocholesterol,dihydro-3-coumaric acid,deoxypentitol,deoxycholic acid,cystine,creatinine,conduritol-beta-epoxide ,citrulline,citric acid,cholesterol,catechol,campesterol ,cadaverine,biuret,beta-sitosterol,beta-glycerolphosphate,beta-alanine,benzoic acid,aspartic acid,asparagine ,arachidonic acid,arabitol,aminomalonic acid,alanine,aconitic acid,5-methoxytryptamine,5-hydroxynorvaline ,5-aminovaleric acid,4-hydroxyphenylacetic acid,4-hydroxybenzoate,4-aminobutyric acid ,3-hydroxybutyric acid,3-hydroxybenzoic acid,"3-Aminopiperidine-2,6-dione ",3-aminoisobutyric acid,"3,4-dihydroxycinnamic acid",2-hydroxyvaleric acid,2-hydroxyglutaric acid,2-hydroxybutanoic acid,2-deoxytetronic acid,2-aminobutyric acid,"2,3-dihydroxybutanoic acid ",1-methylhydantoin,"1,5-anhydroglucitol"
29,moderate-to-severe,6,N,196,1.5-3,-61,40,0.94,2.3,78,154,3.4,121,11.6,1.81,2.4,1174,2.7,101,26,11,62,26.26,11.11,62.62,38.38,0.62,29,12,184,398,14009,25217,371321,11395,239072,632,661903,42480,3764,12111,3531,28389,12064,7893,2495,173,1371,807,286989,969,6313,2271,2551,5633,636,19678,29814,1176,2118,5872,331,115282,6945,14379,4704,1419,216120,78289,8232,2261,729,357223,56854,29879,587,5051,257825,3072,11375,3001,212474,5566,509306,3419,26559,2846,2238,345,276018,801,27009,2383,11957,574,21333,5363,462,970,52078,3152,2544,69217,41317,4270,3661,2076290,2741,2850,2373,7247,3585,34915,14983,579,3637,831,1676,25713,2076,160413,14216,13285,27405,461523,821,31059,1748,2154,24494,665,33587,30801,26898,1080,2433,8260,2986,402634,389,11331,1665,23589,2827,3170,471,3132263,9009,2815,372,376,29245,976,81350,3379,87018,3986,9150,3357
30,no-to-mild,3,N,277,1.5-3,-13.5,17.2,2.35,1.9,121,160,3.3,139,12.7,0.44,1.9,630,1.8,171,18,17,65,30.78,29.07,111.15,59.85,0.65,17,8,163,844,6943,32150,243965,5850,91172,777,719437,73769,3101,19612,6812,52611,21891,9043,3019,230,1489,210,143096,1633,4866,1038,1372,3394,934,14990,25044,2778,1907,80768,6086,80077,3448,10036,5545,2654,443638,197945,16367,2028,552,377887,37236,42302,2228,4679,313236,674,7677,2037,100418,9647,289253,4282,22936,3685,2839,1151,155070,591,11662,681,8701,509,14995,2412,750,643,140460,2252,873,406124,54207,5914,11326,4431217,6233,5646,2694,7630,7629,4118,27552,1601,2199,572,1558,37803,6132,154868,30080,34904,23397,471620,273,23672,1383,1366,19516,733,20353,22085,4345,7769,3991,10293,3540,473506,332,4837,2929,3511,382,1219,256,572961,7522,8341,1225,780,11211,301,42529,868,47594,1230,4900,2042
31,no-to-mild,2,N,201,1.5-3,-13,12.8,1.27,3,633,147,2.9,116,25.8,0.1,10.3,1059,1.5,235,41,9,49,96.35,21.15,115.15,119.85,0.49,25,9,110,1010,12547,59677,394527,4431,43536,457,334935,52827,2201,17157,13582,15124,32121,12424,4046,272,4397,1017,310682,3254,5626,3657,2733,2148,727,4482,60107,806,2732,78799,3625,92096,2080,6498,1615,3261,399699,94992,25511,2361,452,221250,31012,38942,3108,10207,433664,694,6802,2846,386949,14296,478255,2197,23387,3243,1864,1190,261309,794,8581,504,10841,1524,12098,3829,305,492,51429,6774,1814,107254,17917,4627,6150,2712342,1238,2013,3063,7595,7651,31724,34076,1748,4145,2191,2047,47597,5657,215251,8177,18003,225813,668312,872,15234,1770,1226,10437,1659,36810,28131,7130,4613,4335,12711,1742,963570,1224,3521,939,2290,364,1493,293,1265716,20468,4640,810,1904,28705,399,126712,1887,50822,1616,24534,2633
32,no-to-mild,3,N,284,1.5-3,-7,36.7,1.27,1.9,32,156,2.7,130,10.7,1.37,1.5,146,3.2,114,12,42,46,13.68,47.88,52.44,61.56,0.46,15,7,63,145,15988,56737,212413,9014,91501,1462,754618,38010,1590,12221,7635,34882,23965,9153,976,161,2210,279,182155,1264,5416,10250,10693,1769,537,11948,11505,3265,906,33783,246,85353,924,6596,1615,3533,249874,105339,30147,2166,320,658695,48019,23692,7089,3812,157112,223,3545,4623,59304,17335,301890,3982,19284,3323,1896,388,158133,417,6440,497,10363,348,15861,2936,475,410,34890,1595,2568,138756,11406,3005,8151,2761868,5883,5647,3563,18886,4417,11720,24633,1473,2559,645,1435,24001,2827,77410,7415,19105,38367,377455,482,10527,1589,1730,13452,890,4090,27344,5381,2669,5497,10107,1938,322012,608,1273,1494,1603,991,2460,23,3211838,11539,5392,176,1053,20794,1046,56596,2325,27558,1398,56960,2172
33,no-to-mild,4,N,268,1.5-3,-49.5,36,1.53,2.1,66,171,3.6,143,26.3,0.1,2.7,918,0.8,231,2,28,70,4.62,64.68,161.7,69.3,0.7,25,12,130,465,7853,13258,698487,3531,155050,494,623311,55644,4173,8631,19224,63850,9815,4894,1479,281,2745,263,84945,642,13665,850,1278,993,246,4686,33676,647,612,62736,238,71996,555,7540,4855,2535,196110,93728,13146,846,538,35736,141398,15297,14070,6283,362056,1127,12751,2046,114041,7962,869555,2524,34783,1187,1649,415,400325,524,10806,302,8047,808,7855,1593,4380,389,49960,2155,1744,119825,19754,2139,4645,1672055,849,1274,2209,18600,2727,15086,7599,1639,1618,307,927,34356,9241,4321,4827,18213,22644,428401,153,13020,1350,417,22630,701,15166,10417,19344,1085,2613,2206,1871,245146,307,1311,2090,1187,204,551,123,3671908,1315,11024,279,352,12251,418,61749,1726,122403,5825,3998,529
34,moderate-to-severe,6,N,341,1.5-3,-33,19.1,5.07,1.8,68,150,3,121,12.1,0.1,3.8,169,1,190,16,31,53,30.4,58.9,100.7,89.3,0.53,10,15,140,126,5720,22805,478329,4225,67808,326,389765,51949,1189,14259,11618,120254,9565,2869,7448,76,2525,832,408610,716,1999,4154,1576,2295,8750,19686,48821,505,2097,110543,1833,43800,575,4769,1983,2664,172460,127629,21427,1554,280,248225,26108,38271,2221,5342,102685,221,2976,1745,144828,13095,724480,3110,12139,1490,1364,262,422758,515,8608,324,8876,413,19777,1282,1300,542,252088,1703,1581,98320,12628,2776,3974,2362193,4693,3950,2202,4676,2321,12602,12186,1539,3486,335,879,23095,15421,248832,7554,19459,27769,320748,168,19842,1004,560,17514,450,10201,10387,4581,4418,2625,5662,4439,291607,367,1501,1106,2455,232,489,163,2931650,388,20238,567,413,12669,276,86272,562,64735,3945,825,931
35,no-to-mild,1,Y,244,1.5-3,13,7.3,1.62,1.9,108,152,3.8,129,12.9,0.16,2.5,321,7.4,184,17,39,44,31.28,71.76,80.96,103.04,0.44,13,4,45,229,6369,36774,240743,98993,51897,304,821961,39426,2004,48174,11573,30973,14611,2116,2573,161,3059,247,146536,1850,3478,3269,3028,2416,549,4246,64561,2534,1825,78813,1552,73842,24247,12863,4779,2878,1187924,161205,31506,1995,349,375795,35593,15961,3121,7511,156956,385,2286,1057,283156,17530,236950,1762,9710,3241,1746,366,119853,329,24761,2405,25095,1489,16204,24534,441,1045,89660,2897,1926,515176,20757,3049,4039,3982845,2770,2518,2281,5196,3529,21637,6311,1092,3611,1246,1081,32795,3920,19604,5462,25180,30275,496672,335,19986,1245,2668,15756,1096,25464,45988,23647,8225,3973,3992,1038,239289,562,1873,2033,2988,1090,3386,522,410355,23110,12983,520,368,14376,1492,42057,1160,106801,1235,4014,954
36,moderate-to-severe,5,N,260,1.5-3,7.5,15.1,6.41,1.3,58,160,2.8,136,11,3.42,2.5,296,2.5,145,25,9,66,36.25,13.05,95.7,49.3,0.66,28,32,375,240,17874,65158,360441,9283,264369,418,567383,66246,3043,14191,15960,36569,26499,16034,5882,214,2684,1064,271860,1989,4991,11608,1069,2190,742,14938,55300,1306,2395,83687,299,113623,1173,11482,4764,1562,263235,209912,13185,1105,1008,1407084,18093,24551,991,7490,270640,689,7846,4247,143279,7684,322652,2220,28392,7522,3976,944,189964,966,13325,734,4469,772,12366,2988,477,761,28964,2410,3015,110485,14406,7182,7652,3686257,6432,5750,1387,7656,279370,23963,66744,2254,7253,500,1354,31712,4963,159120,19403,23204,33344,499938,274,32021,2112,2257,29021,1040,13484,19198,11142,1327,3377,14839,2493,685187,874,9221,2466,1474,1172,1699,254,70216,3329,7816,519,505,5577,1944,53927,1776,60627,1056,7245,4007
37,moderate-to-severe,6,N,308,1.5-3,-25,32.1,1.4,2.9,67,150,2.9,123,11.4,0.58,1.7,309,1.9,166,14,44,41,23.24,73.04,68.06,97.94,0.41,10,10,293,415,15134,35524,273229,12682,54651,1220,871097,63030,2282,20706,20940,24241,40852,21261,8293,201,2964,693,287932,1876,6333,1588,1567,2261,1237,18877,4831,790,2705,85830,2110,95808,1165,6623,2984,4009,252632,91885,19460,1566,712,492591,44990,17953,3737,9116,253825,907,6942,8562,110012,11428,363984,3851,50054,3326,3707,890,188169,689,44058,427,15992,633,20445,2126,451,1304,42405,568,2485,72876,29747,6525,5381,4293106,2815,1053,7252,10230,10403,20387,43398,2338,5307,9713,1524,49037,12762,81156,22074,15272,71035,523266,424,33147,1653,1099,21821,600,31665,44662,6188,3658,1814,11151,2711,557234,877,3676,1573,737,334,714,252,708750,827,12957,1251,1578,12875,146,50980,1435,12623,2177,10109,2580
38,moderate-to-severe,5,N,368,1.5-3,-27.5,38.2,5.28,3.2,83,152,3.5,126,13.1,0.45,2.4,357,1,160,21,21,57,33.6,33.6,91.2,68.8,0.57,12,10,274,125,17607,33799,202312,4910,44119,715,943719,79040,4223,13177,12320,24199,22617,10390,2007,157,3383,843,668862,3821,4375,1785,3218,3174,373,26469,7536,773,2355,88503,1905,143870,1583,7282,4040,2065,251553,152457,13990,1885,774,504778,33743,22685,2866,5693,387482,1179,12377,3455,132770,8292,334002,3474,34917,2933,1541,562,181869,572,28471,685,5213,530,24737,3159,434,98,50167,2297,2946,90830,26944,3694,7111,4144861,1751,2100,4394,7223,6071,18735,13138,2078,4186,2165,1432,38920,13794,165573,7063,25735,41344,481865,1740,27902,1787,970,29839,1381,18670,29272,6097,2216,2698,26476,2643,509372,458,4910,863,1610,433,759,209,395474,32357,9209,529,1331,12311,475,32532,2182,18044,1415,5298,1231
